127.0.0.1 - - [11/Oct/2022:14:57:41 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:49 +0900] "GET /practice01/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:50 +0900] "GET /practice01/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:25:10 +0900] "GET /practice01/ HTTP/1.1" 500 2697
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:25:15 +0900] "GET /practice01/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:25:41 +0900] "GET /practice01/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:25:56 +0900] "GET /practice01/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:26:15 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:26:36 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:28:40 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:29:06 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:30:35 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:30:41 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:30:42 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:34 +0900] "GET /practice01/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:35 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:35 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:36 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:36 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:46:10 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:03 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:09 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:19 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:34 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:50:37 +0900] "GET /practice01/index.jsp?msgid%20:%20ahj,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:50:44 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:17 +0900] "GET /practice01/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:20 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:22 +0900] "GET /practice01/index.jsp?msg= HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:43 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:52 +0900] "GET /practice01/index.jsp?msg= HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:52:53 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:53:44 +0900] "GET /practice01/index.jsp?msg= HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:53:52 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:58:03 +0900] "GET /practice01/index.jsp?msg= HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:58:09 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:58:15 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:28 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:30 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:30 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:36 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:46 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:00:46 +0900] "GET /practice01/index.jsp?msg=id%20:%20qqq,%20pw%20:%201234,%20name%20:%20%E3%85%81%E3%85%81%E3%85%81%3E HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:12 +0900] "GET /practice01/ HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:20 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:02:25 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:03:15 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:04:16 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:11 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:25 +0900] "GET /practice01/ HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:33 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:05:34 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:35 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:36 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:41 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:47 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:07:50 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:08:04 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:08:09 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:08:22 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:08:24 +0900] "GET /practice01/index.jsp?msg=id%20:%20ahj,%20pw%20:%201234,%20name%20:%20%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:08:24 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:09:02 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:09:02 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:09:10 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:09:11 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:09:11 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:13:45 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [11/Oct/2022:16:13:46 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1194
